lag,mean_acf,std_acf,n_groups,se_acf
1,0.7209681464736636,0.12363218025140368,95235,0.0004006205612310995
2,0.5234356479017536,0.1535480670194599,95235,0.0004975606889743261
3,0.3492002789036793,0.16831368307195863,95235,0.0005454075309360719
4,0.18380402463122267,0.2001840548555861,95235,0.0006486810168896262
5,0.013128540386800842,0.22172458177809792,95235,0.0007184814359015875
6,-0.1897714489758318,0.2320781661863446,95235,0.000752031429017868
7,-0.12396205453283837,0.21995642249719563,95235,0.0007127518518885852
8,-0.09654126601181455,0.21979486622685956,95235,0.000712228341233343
9,-0.084113480701664,0.22253827760661024,95235,0.0007211181545845964
10,-0.08120145039897651,0.22601036880530886,95235,0.0007323691987855452
11,-0.08277657840546251,0.23018947144635266,95235,0.0007459112591301319
12,-0.08703986341808603,0.23618957191092507,95235,0.0007653541227168774
13,-0.09209867743436284,0.24239281869153145,95235,0.0007854552662997864
14,-0.09600302984147954,0.24959165314589327,95235,0.0008087825350857258
15,-0.09839021436669743,0.2568039172528906,95235,0.0008321533216270348
16,-0.09834608989174984,0.2629450381786505,95235,0.0008520531511606003
17,-0.09753812358059316,0.2688404527114703,95235,0.0008711567880456371
18,-0.09515926200828599,0.274839187181409,95235,0.0008905952252319449
19,-0.09167907188504044,0.2790304502684274,95235,0.0009041766905654371
20,-0.08702543628944019,0.2825813388608892,95235,0.0009156830716539888
21,-0.08237776432857467,0.28679056639821887,95235,0.0009293227494055689
22,-0.07662641932924832,0.29126450822682437,95235,0.00094382021343675
23,-0.0679319878521125,0.2969060155306199,95234,0.0009621061347299706
24,-0.05662863795824376,0.303015876616944,95234,0.0009819047731071512
25,-0.04177320876141436,0.3084430756444485,95234,0.0009994912860291979
26,-0.024156054317932146,0.31398888633673794,95234,0.0010174621529365827
27,-0.006166924784410916,0.32214833710549273,95234,0.0010439023637440884
28,0.006993029974315337,0.33042961151352424,95234,0.001070737336747617
29,0.012685305047754213,0.3363609407222337,95234,0.0010899574532838344
30,0.010887256885600485,0.3427438504294706,95234,0.0011106408893394664
